year,industry_name,total_emp,all_emp_tot,pct_emp
2015,Utilities,9567663,483829809,1.9774852276619441
2015,Transportation & Warehousing,66180866,483829809,13.678542489307432
2015,Accomodation & Food Services,156507552,483829809,32.3476456160228
2015,Construction,78719955,483829809,16.27017466383515
2015,"Agriculture, Forestry, Fishing & Hunting",15174605,483829809,3.1363518158096784
2015,"Mining, Quarrying, & Oil and Gas Extraction",9026725,483829809,1.8656818641779882
2015,Manufacturing,148652443,483829809,30.724118323185003
2016,Utilities,9616984,492722177,1.9518066060176544
2016,Transportation & Warehousing,68326311,492722177,13.867106899066977
2016,Accomodation & Food Services,161094988,492722177,32.694892886869184
2016,Construction,82050239,492722177,16.652434745189073
2016,"Agriculture, Forestry, Fishing & Hunting",15297625,492722177,3.1047161491982123
2016,"Mining, Quarrying, & Oil and Gas Extraction",7363970,492722177,1.4945481132666778
2016,Manufacturing,148972060,492722177,30.23449460039222
2017,Utilities,9653341,501980830,1.9230497308034653
2017,Transportation & Warehousing,70577387,501980830,14.059777342493337
2017,Accomodation & Food Services,164523623,501980830,32.774881662313675
2017,Construction,84539573,501980830,16.841195509398236
2017,Manufacturing,149904916,501980830,29.862677425351087
2017,"Agriculture, Forestry, Fishing & Hunting",15291378,501980830,3.0462075613524924
2017,"Mining, Quarrying, & Oil and Gas Extraction",7490612,501980830,1.4922107682877055
2018,Utilities,9606537,514973945,1.8654413671355743
2018,Transportation & Warehousing,73555524,514973945,14.283348645920329
2018,Accomodation & Food Services,167177121,514973945,32.46321927995794
2018,Construction,88309117,514973945,17.14826892844064
2018,Manufacturing,152939758,514973945,29.69854290395216
2018,"Agriculture, Forestry, Fishing & Hunting",15300109,514973945,2.9710452632705526
2018,"Mining, Quarrying, & Oil and Gas Extraction",8085779,514973945,1.570133611322802
2019,Utilities,9591710,525470056,1.825358056178181
2019,Transportation & Warehousing,76936381,525470056,14.64143962562921
2019,Accomodation & Food Services,169676015,525470056,32.290329974578036
2019,Construction,91086971,525470056,17.334378992663286
2019,Manufacturing,154777112,525470056,29.454982302550082
2019,"Agriculture, Forestry, Fishing & Hunting",15295396,525470056,2.9108025900528194
2019,"Mining, Quarrying, & Oil and Gas Extraction",8106471,525470056,1.5427084583483859
2020,Utilities,9521178,477226078,1.99510849027827
2020,Transportation & Warehousing,77528906,477226078,16.24573961358415
2020,Accomodation & Food Services,134214689,477226078,28.123921802948914
2020,Construction,88086198,477226078,18.457959877037567
2020,Manufacturing,146371952,477226078,30.671406854677375
2020,"Agriculture, Forestry, Fishing & Hunting",15010256,477226078,3.1453134461776
2020,"Mining, Quarrying, & Oil and Gas Extraction",6492899,477226078,1.360549915296121
2021,Utilities,9510895,500318032,1.9009698615060109
2021,Transportation & Warehousing,82415709,500318032,16.47266413136195
2021,Accomodation & Food Services,147333835,500318032,29.448036164325174
2021,Construction,90723583,500318032,18.133182735256682
2021,Manufacturing,149065705,500318032,29.79418998833926
2021,"Agriculture, Forestry, Fishing & Hunting",15104598,500318032,3.0189993232144787
2021,"Mining, Quarrying, & Oil and Gas Extraction",6163707,500318032,1.2319577959964472
2022,Utilities,9745227,531553057,1.8333498174200134
2022,Transportation & Warehousing,88221830,531553057,16.596994192434867
2022,Accomodation & Food Services,162386454,531553057,30.549434691709433
2022,Construction,94698697,531553057,17.815474062827185
2022,Manufacturing,154577756,531553057,29.080400152792272
2022,"Agriculture, Forestry, Fishing & Hunting",15243155,531553057,2.867663876496152
2022,"Mining, Quarrying, & Oil and Gas Extraction",6679938,531553057,1.2566832063200795
